"fov","x_global_px","y_global_px"
1,280886.904761905,-8029.7619047619
2,280886.904761905,-12511.9047619048
3,280886.904761905,-16994.0476190476
4,276404.761904762,-16994.0476190476
5,276404.761904762,-12511.9047619048
6,329208.333333333,-16952.380952381
7,329208.333333333,-21434.5238095238
8,329208.333333333,-25916.6666666667
9,324726.19047619,-25916.6666666667
10,324726.19047619,-21434.5238095238
11,287607.142857143,-44482.1428571429
12,287607.142857143,-48964.2857142857
13,287607.142857143,-53446.4285714286
14,283125,-53446.4285714286
15,283125,-48964.2857142857
16,323642.857142857,-46202.3809523809
17,323642.857142857,-50684.5238095238
18,323642.857142857,-55166.6666666667
19,319160.714285714,-55166.6666666667
20,319160.714285714,-50684.5238095238
